일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-01-20 13:00,7,239.9,0.7,0,50.2
2018-01-20 14:00,8,248.8,2.1,0,47.9
2018-01-20 15:00,7.8,254.9,2,0,50.2
2018-01-20 16:00,7.5,243.2,2,0,49.8
2018-01-20 17:00,6.5,234.5,1.8,0,54.8
2018-01-20 18:00,4.3,193.4,0.9,0,63
2018-01-20 19:00,3.1,210.7,0.7,0,69.1
2018-01-20 20:00,2.4,0,0.1,0,73.3
2018-01-20 21:00,1.7,0,0.1,0,77.9
2018-01-20 22:00,0.9,0,0.2,0,81.2
2018-01-20 23:00,0,0,0.1,0,84.1
2018-01-21 0:00,-0.5,0,0.1,0,86.3
2018-01-21 1:00,-0.8,0,0.2,0,88
2018-01-21 2:00,-1.2,0,0.1,0,88.9
2018-01-21 3:00,-2,0,0.3,0,90.3
2018-01-21 4:00,-2.3,0,0,0,91.8
2018-01-21 5:00,-2.7,0,0,0,92.2
2018-01-21 6:00,-2.7,0,0.1,0,92.8
2018-01-21 7:00,-3,0,0.1,0,92.7
2018-01-21 8:00,-3.6,0,0.3,0,92.5
2018-01-21 9:00,-2.8,0,0,0,92.4
